lat,lon
-0.4687414,51.5348397
-0.4689588,51.5347816
-0.4708849,51.5346295
-0.471117,51.5347506
-0.4713667,51.5347663
-0.471642,51.5348039
-0.4722994,51.5348211
-0.4733645,51.5348284
-0.4738638,51.5347925
-0.4745147,51.5347565
-0.4751016,51.5347399
-0.4761009,51.5347123
-0.4761073,51.5342811
-0.4770769,51.5342422
-0.4776097,51.534205
-0.478186,51.5341576
-0.4783056,51.5340392
-0.4792625,51.5339919
-0.4800502,51.5339927
-0.4806409,51.533719
-0.480922,51.5333388
-0.4809942,51.5327077
-0.4809656,51.5324884
-0.4807962,51.531012
-0.4808578,51.5303364
-0.4805127,51.5303496
-0.4794373,51.5303672
-0.4790734,51.5303732
-0.4791718,51.53243
-0.4761015,51.5324384
-0.4760788,51.5322446
-0.4757793,51.5322395
-0.4757846,51.5321288
-0.4757793,51.5317884
-0.47579,51.5312445
-0.4758222,51.5306071
-0.4751067,51.530497
-0.4741356,51.530497
-0.4730344,51.530623
-0.4722177,51.5306921
-0.4715228,51.5307611
-0.4704501,51.5308546
-0.469609,51.5309359
-0.4683778,51.5310659
-0.4676382,51.5311309
-0.4668215,51.5312244
-0.4660129,51.5312975
-0.466151,51.5315454
-0.4665736,51.5320655
-0.4668556,51.5323475
-0.4669149,51.5324068
-0.4669712,51.532472
-0.4670046,51.5325107
-0.4670636,51.5326117
-0.4671473,51.5326822
-0.4672261,51.5327677
-0.467496,51.5330245
-0.4677032,51.5333373
-0.4679097,51.5336463
-0.4683574,51.534315
-0.4684663,51.5344732
-0.4686255,51.5346778
-0.4687414,51.5348397
